기간,자치구,동,계,계,종합병원,종합병원,병원,병원,의원,의원,부속병의원,요양병원,요양병원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산원,조산원
기간,자치구,동,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
2017,강북구,송중동,45,99,-,-,1,61,29,38,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,4,-,-,-
2017,강북구,송천동,45,160,-,-,-,-,17,8,-,1,152,-,-,-,-,-,-,-,-,16,-,-,-,11,-,-,-
2017,강북구,삼각산동,29,5,-,-,-,-,16,5,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,4,-,-,-
2017,강북구,우이동,10,19,-,-,-,-,4,19,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,4,-,-,-
2017,강북구,인수동,18,608,1,203,2,346,7,10,-,-,-,1,49,-,-,-,-,-,-,3,-,-,-,4,-,-,-
2017,도봉구,소계,367,"3,002",1,414,5,525,159,180,1,7,846,1,162,-,-,3,671,1,-,102,-,2,204,85,-,-,-
2017,도봉구,쌍문1동,18,881,-,-,-,-,5,-,-,4,583,-,-,-,-,1,298,-,-,4,-,-,-,4,-,-,-
2017,도봉구,쌍문2동,36,82,-,-,1,30,19,8,-,1,44,-,-,-,-,-,-,1,-,7,-,-,-,7,-,-,-
2017,도봉구,쌍문3동,20,417,1,414,-,-,5,3,1,-,-,-,-,-,-,-,-,-,-,7,-,-,-,6,-,-,-
2017,도봉구,쌍문4동,11,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,2,-,-,-
2017,도봉구,방학1동,62,608,-,-,1,202,27,67,-,1,73,-,-,-,-,1,174,-,-,18,-,1,92,13,-,-,-
2017,도봉구,방학2동,18,112,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,112,6,-,-,-
2017,도봉구,방학3동,19,308,-,-,-,-,9,-,-,1,146,1,162,-,-,-,-,-,-,4,-,-,-,4,-,-,-
2017,도봉구,창1동,28,24,-,-,-,-,15,24,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,5,-,-,-
2017,도봉구,창2동,16,154,-,-,1,154,7,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,3,-,-,-
2017,도봉구,창3동,15,24,-,-,-,-,8,24,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,3,-,-,-
2017,도봉구,창4동,37,-,-,-,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,6,-,-,-
2017,도봉구,창5동,45,339,-,-,2,139,16,1,-,-,-,-,-,-,-,1,199,-,-,15,-,-,-,11,-,-,-
2017,도봉구,도봉1동,30,32,-,-,-,-,11,32,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,12,-,-,-
2017,도봉구,도봉2동,12,21,-,-,-,-,6,21,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,3,-,-,-
2017,노원구,소계,717,"3,906",3,"1,664",7,471,346,421,1,8,"1,265",-,-,-,-,-,-,2,-,191,-,2,85,157,-,-,-
2017,노원구,월계1동,33,310,-,-,-,-,14,11,-,1,299,-,-,-,-,-,-,-,-,10,-,-,-,8,-,-,-
2017,노원구,월계2동,17,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,3,-,-,-
2017,노원구,월계3동,20,20,-,-,-,-,11,20,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,4,-,-,-
2017,노원구,공릉2동,33,516,1,490,-,-,15,26,1,-,-,-,-,-,-,-,-,-,-,9,-,-,-,7,-,-,-
2017,노원구,하계1동,20,635,1,531,-,-,9,-,-,1,104,-,-,-,-,-,-,-,-,6,-,-,-,3,-,-,-
2017,노원구,하계2동,10,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,2,-,-,-
2017,노원구,중계본동,29,2,-,-,-,-,17,2,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,4,-,-,-
2017,노원구,중계1동,40,23,-,-,-,-,15,23,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,11,-,-,-
2017,노원구,중계4동,35,179,-,-,-,-,16,30,-,1,149,-,-,-,-,-,-,-,-,10,-,-,-,8,-,-,-
2017,노원구,상계1동,49,210,-,-,-,-,22,86,-,1,124,-,-,-,-,-,-,-,-,13,-,-,-,13,-,-,-
2017,노원구,상계2동,66,575,-,-,2,80,26,67,-,2,343,-,-,-,-,-,-,1,-,14,-,2,85,19,-,-,-
2017,노원구,상계5동,21,36,-,-,-,-,8,36,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,6,-,-,-
2017,노원구,상계8동,31,8,-,-,-,-,16,8,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,6,-,-,-
2017,노원구,상계9동,26,24,-,-,-,-,15,24,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,3,-,-,-
2017,노원구,상계10동,7,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,1,-,-,-
2017,노원구,상계3.4동,28,7,-,-,-,-,12,7,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,7,-,-,-
2017,노원구,상계6.7동,146,937,1,643,1,93,83,68,-,1,133,-,-,-,-,-,-,1,-,26,-,-,-,33,-,-,-
2017,노원구,중계2.3동,36,2,-,-,-,-,20,2,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,6,-,-,-
2017,노원구,공릉1동,70,422,-,-,4,298,33,11,-,1,113,-,-,-,-,-,-,-,-,19,-,-,-,13,-,-,-
2017,은평구,소계,623,"3,292",1,200,9,655,301,490,-,6,"1,104",-,-,1,435,1,275,1,-,169,-,2,70,132,63,-,-
2017,은평구,녹번동,21,410,-,-,2,192,5,-,-,1,190,-,-,-,-,-,-,-,-,6,-,-,-,7,28,-,-
